"speaker_listener","Length","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"SECOND LORD_SERVANT",312,27.0,1.0,8.0,0.0,16.0,5.0,4.0,37.0,3.0,3.0,15.0,9.0,2.0,33.0,7.0,2.0,1.0,0.0,7.0,0.0,23.0,3.0,2.0,6.0,12.0,5.0,0.0,0.0,7.0,18.0,0.0,0.0,4.0,5.0,4.0,1.0,2.0,3.0,2.0,0.0,1.0,35.0,27.0,1.0,0.0,43.0,134.0,0.0,1.0,7.0,0.0,1.0,15.0,1.0,5.0,7.0,15.0,3.0,2.0,0.0,12.0,0.0,6.0,1.0
"FIRST LORD_SERVANT",85,8.0,1.0,1.0,0.0,2.0,3.0,1.0,10.0,0.0,0.0,4.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,10.0,34.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0,3.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
"DIANA_FIRST LORD",501,57.0,0.0,13.0,0.0,20.0,17.0,8.0,76.0,10.0,7.0,32.0,10.0,3.0,23.0,9.0,5.0,0.0,0.0,8.0,0.0,48.0,4.0,0.0,7.0,14.0,16.0,5.0,0.0,17.0,40.0,4.0,2.0,31.0,1.0,9.0,1.0,2.0,0.0,4.0,0.0,1.0,58.0,57.0,0.0,7.0,77.0,209.0,3.0,9.0,15.0,4.0,2.0,12.0,1.0,13.0,14.0,25.0,5.0,16.0,1.0,21.0,2.0,7.0,1.0
"LAFEU_DIANA",108,12.0,0.0,3.0,0.0,0.0,1.0,3.0,9.0,1.0,1.0,6.0,4.0,1.0,6.0,2.0,1.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,2.0,12.0,33.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0
"COUNTESS OF ROUSILLON_GENTLEMAN",43,1.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"ALL_LAFEU",10,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"BERTRAM_GENTLEMAN",246,24.0,2.0,7.0,0.0,13.0,6.0,4.0,28.0,9.0,1.0,13.0,0.0,2.0,18.0,6.0,1.0,0.0,0.0,8.0,1.0,17.0,4.0,2.0,9.0,10.0,5.0,0.0,0.0,8.0,15.0,1.0,0.0,11.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,33.0,0.0,0.0,37.0,103.0,0.0,6.0,8.0,0.0,0.0,9.0,0.0,5.0,4.0,11.0,2.0,4.0,0.0,8.0,1.0,1.0,1.0
"HELENA_FIRST LORD",402,36.0,1.0,7.0,1.0,11.0,13.0,14.0,43.0,10.0,4.0,27.0,17.0,3.0,20.0,4.0,10.0,0.0,0.0,15.0,0.0,25.0,7.0,0.0,17.0,22.0,9.0,3.0,0.0,5.0,33.0,3.0,6.0,18.0,1.0,3.0,0.0,7.0,2.0,3.0,0.0,1.0,36.0,40.0,1.0,3.0,47.0,148.0,2.0,6.0,3.0,4.0,0.0,11.0,5.0,3.0,15.0,1.0,3.0,5.0,2.0,19.0,1.0,4.0,2.0
"ALL_FOURTH LORD",10,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"SECOND LORD_KING OF FRANCE",48,4.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,4.0,1.0,0.0,7.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
